distilbert,AR,Helmet is to head as Shoe is to _____.,here are the,0
distilbert,AR,Cow is to human as Fly is to ______.,here are the,0
distilbert,AR,Ruby is to corundum as Diamond is to ______.,here are the,0
distilbert,AR,Aphrodite is to Venus as Roman is to ______.,here are the,0
distilbert,AR,4 is to 16 as 8 is to ______.,here are the,0
distilbert,AR,Fork is to spaghetti as spoon is to ______.,here are the,0
distilbert,AR,Buying food at the grocery store is like ____.,[CLS] here are the,0
distilbert,AR,Finding hidden treasure is like ______.,here are the,0
distilbert,AR,Starting a new book is like ______.,here are the,0
distilbert,AR,Laugh is to cry as ______.,here are the,0
distilbert,AR,Drive is to car as ______.,here are the,0
distilbert,AR,Writing relates to ink as _____.,here are the,0
distilbert,AR,A lake is most similar to a _______.,here are the,0
distilbert,AR,A bandaid is most similar to ______.,here are the,0
distilbert,AR,A sandwich is most similar to _____.,here are the,0
distilbert,DR,"All mountains are large. Everest is a mountain, so Everest is _______.",here are the,0
distilbert,DR,"All dogs are nice. Steve is a dog, so steve is _______.",here are the,0
distilbert,DR,"Puppets are scary, and Susan is a puppet. So, Susan must be _______.",here are the,0
distilbert,DR,"All men are dumb. If Shannon is a man, then Shannon must be _______.",here are the,0
distilbert,DR,"Siblings always fight. Me and Jose are siblings, so _______.",here are the,0
distilbert,DR,"Purple is only for royalty. If Jessamine is wearing purple, then ______.","here are the options : a. jessamine must like purple. b. she must be a girl., c. she has good taste., d. jessamine is royalty., e. jessamine owns purple clothes.",0
distilbert,DR,"Cats like going outside, so ______.",here are the,0
distilbert,DR,"All senators hate their constituents. Mary doesn't hate her constituents, so Mary must not be _______.",here are the,0
distilbert,DR,"Dogs are always cute, but Mr. Brown is not cute, so Mr. Brown must ______. ",here are the,0
distilbert,DR,"The sky is not green. The ozone layer is green, so it _______.",here are the,0
distilbert,DR,"My plant is huge. This fern is tiny, so _______.",here are the,0
distilbert,DR,"I have three dogs. Dogs and cats can't live together, so ______.",here are the,0
distilbert,DR,"I only visit Mark in Texas. I am in New Zealand, so the friend with me is _______.",[CLS] here are the options : a. from new zealand. b. from the,0
distilbert,DR,"I only go to cabins when I am sad. I am in a cabin, so _______.",here are the,0
distilbert,DR,"If I have money, I spend it on coffee. I bought a coffee this morning, so this morning ______.","[CLS] here are the options : a. i had coffee. b. i had money., c. i woke up at 7 :",0
distilbert,AR,Helmet is to head as Shoe is to _____.,"[CLS] here are the options : a. knee b. foot, c. sock, d.",0
distilbert,AR,Cow is to human as Fly is to ______.,[CLS],0
distilbert,AR,Ruby is to corundum as Diamond is to ______.,"[CLS] here are the options : a. silver b. gold, c. iron, d.",0
distilbert,AR,Aphrodite is to Venus as Roman is to ______.,"[CLS] here are the options : a. persian b. greek, c. egyptian, d.",0
distilbert,AR,4 is to 16 as 8 is to ______.,"[CLS] here are the options : a. 24 b. 36, c. 48, d. 56, e.",0
distilbert,AR,Fork is to spaghetti as spoon is to ______.,"[CLS] here are the options : a. human b. bowl, c. eat, d.",0
distilbert,AR,Buying food at the grocery store is like ____.,"gas at a gas station b. going on a walk, c. spending time with friends, d.",0
distilbert,AR,Finding hidden treasure is like ______.,"[CLS] here are the options : a. opening a box b. getting a present, c",0
distilbert,AR,Starting a new book is like ______.,"[CLS] here are the options : a. beginning a show b. reading a book, c. starting a road trip, d.",0
distilbert,AR,Laugh is to cry as ______.,[CLS] here are the options : a,0
distilbert,AR,Drive is to car as ______.,,0
distilbert,AR,Writing relates to ink as _____.,[CLS] here are the options : a. painting relates to paint. b. car relates to,0
distilbert,AR,A lake is most similar to a _______.,"[CLS] here are the options : a. crater b. glass of water, c. empty cup, d.",0
distilbert,AR,A bandaid is most similar to ______.,"[CLS] here are the options : a. a cut b. a doctor, c. a medicine, d.",0
distilbert,AR,A sandwich is most similar to _____.,"[CLS] here are the options : a. an oreo b. a book, c.",0
distilbert,DR,"All mountains are large. Everest is a mountain, so Everest is _______.","[CLS] here are the options : a. a mountain b. cold, c. all mountains, d.",0
distilbert,DR,"All dogs are nice. Steve is a dog, so steve is _______.","[CLS] here are the options : a. a dog b. mean, c. barks, d.",0
distilbert,DR,"Puppets are scary, and Susan is a puppet. So, Susan must be _______.","[CLS] here are the options : a. a puppet b. a human, c. scary, d.",0
distilbert,DR,"All men are dumb. If Shannon is a man, then Shannon must be _______.","[CLS] here are the options : a. dumb b. large, c. strong, d.",0
distilbert,DR,"Siblings always fight. Me and Jose are siblings, so _______.","[CLS] here are the options : a. we always have each other ' s backs. b. we always fight., c. we never fight., d. we have the same parents.",0
distilbert,DR,"Purple is only for royalty. If Jessamine is wearing purple, then ______.","[CLS] here are the options : a. jessamine must like purple. b. she must be a girl., c. she has good taste",0
distilbert,DR,"Cats like going outside, so ______.","outside. b. my cat peter must be outside., c",0
distilbert,DR,"All senators hate their constituents. Mary doesn't hate her constituents, so Mary must not be _______.","[CLS] here are the options : a. a bad person b. a politician, c. a senator, d. a hater, e.",0
distilbert,DR,"Dogs are always cute, but Mr. Brown is not cute, so Mr. Brown must ______. ","[CLS] here are the options : a. be a dog b. not be a dog, c",0
distilbert,DR,"The sky is not green. The ozone layer is green, so it _______.",,0
distilbert,DR,"My plant is huge. This fern is tiny, so _______.",[CLS] here are the options : a. the fern is not my plant. b. the fern is not huge.,0
